ID_Venta,Fecha,Producto,Categoria_producto,Precio,Cantidad_vendida,Region,Descuento,Metodo_Pago
51,2023-11-04,Producto D,Categoria 1,724.81,22,Norte,0.25,Transferencia
52,2024-01-26,Producto C,Categoria 3,543.64,41,Oeste,0.18,Efectivo
53,2024-03-03,Producto C,Categoria 1,323.09,17,Oeste,0.22,Efectivo
54,2024-05-16,Producto A,Categoria 1,182.34,38,Sur,0.28,Efectivo
55,2024-08-23,Producto E,Categoria 3,240.48,16,Este,0.08,Tarjeta
56,2024-07-22,Producto C,Categoria 1,340.04,12,Oeste,0.35,Tarjeta
57,2024-01-05,Producto E,Categoria 2,335.51,23,Sur,0.4,Tarjeta
58,2023-12-10,Producto C,Categoria 2,854.46,90,Norte,0.37,Transferencia
59,2024-05-30,Producto D,Categoria 3,539.51,93,Sur,0.19,Efectivo
60,2024-09-07,Producto E,Categoria 2,396.09,35,Este,0.37,Tarjeta
61,2024-04-09,Producto B,Categoria 3,911.84,100,Este,0.45,Tarjeta
62,2023-11-13,Producto A,Categoria 3,417.62,86,Sur,0.44,Transferencia
63,2024-06-04,Producto B,Categoria 1,193.31,88,Norte,0.24,Efectivo
64,2023-12-05,Producto E,Categoria 3,441.57,63,Oeste,0.29,Transferencia
65,2024-06-03,Producto C,Categoria 1,346.96,71,Este,0.38,Efectivo
66,2024-08-24,Producto B,Categoria 1,731.43,27,Sur,0.25,Transferencia
67,2024-09-14,Producto A,Categoria 3,150.16,49,Sur,0.3,Tarjeta
68,2024-03-25,Producto B,Categoria 3,979.98,5,Oeste,0.09,Transferencia
69,2023-10-30,Producto D,Categoria 1,952.59,31,Sur,0.37,Efectivo
70,2024-02-10,Producto A,Categoria 2,730.89,59,Norte,0.12,Tarjeta
71,2024-05-07,Producto C,Categoria 2,375.65,100,Sur,0.08,Tarjeta
72,2024-08-08,Producto C,Categoria 3,618.79,88,Norte,0.13,Efectivo
73,2023-12-07,Producto A,Categoria 2,745.15,30,Norte,0.09,Transferencia
74,2024-08-06,Producto C,Categoria 1,105.38,60,Sur,0.02,Transferencia
75,2024-03-23,Producto A,Categoria 2,916.71,43,Sur,0.3,Transferencia
76,2024-04-11,Producto B,Categoria 2,354.65,11,Oeste,0.18,Transferencia
77,2024-10-02,Producto C,Categoria 1,472.33,39,Este,0.08,Tarjeta
78,2024-04-17,Producto D,Categoria 3,907.39,44,Este,0.09,Efectivo
79,2023-11-28,Producto C,Categoria 2,548.42,28,Sur,0.23,Transferencia
80,2024-04-13,Producto B,Categoria 3,645.86,7,Este,0.48,Efectivo
81,2023-12-11,Producto B,Categoria 3,597.64,53,Norte,0.28,Transferencia
82,2024-08-12,Producto E,Categoria 3,121.66,87,Norte,0.07,Efectivo
83,2024-08-01,Producto C,Categoria 2,508.95,45,Este,0.21,Transferencia
84,2024-02-23,Producto C,Categoria 3,540.78,45,Sur,0.49,Tarjeta
85,2023-12-24,Producto D,Categoria 2,486.85,26,Este,0.34,Tarjeta
86,2024-09-20,Producto A,Categoria 2,950.31,33,Oeste,0.04,Efectivo
87,2023-11-29,Producto D,Categoria 2,292.56,49,Sur,0.48,Efectivo
88,2024-05-02,Producto A,Categoria 2,177.61,54,Norte,0.39,Efectivo
89,2024-01-30,Producto A,Categoria 3,635.46,54,Oeste,0.35,Transferencia
90,2024-06-07,Producto C,Categoria 2,873.72,11,Oeste,0.27,Tarjeta
91,2024-04-21,Producto B,Categoria 3,807.74,10,Norte,0.01,Transferencia
92,2024-01-05,Producto E,Categoria 3,409.2,7,Oeste,0.23,Tarjeta
93,2023-10-26,Producto D,Categoria 3,988.91,71,Oeste,0.39,Transferencia
94,2024-05-29,Producto B,Categoria 3,877.7,23,Sur,0.37,Efectivo
95,2023-12-20,Producto D,Categoria 2,937.72,62,Sur,0.18,Tarjeta
96,2024-03-28,Producto E,Categoria 3,308.46,29,Este,0.01,Efectivo
97,2024-08-11,Producto C,Categoria 2,673.6,36,Oeste,0.22,Efectivo
98,2024-02-27,Producto C,Categoria 3,431.9,58,Oeste,0.08,Tarjeta
99,2023-11-20,Producto A,Categoria 2,240.16,42,Este,0.18,Transferencia
100,2024-05-05,Producto C,Categoria 1,391.45,13,Norte,0.26,Transferencia
101,2024-02-10,Producto A,Categoria 3,123.6,52,Sur,0.22,Transferencia
102,2023-10-25,Producto D,Categoria 1,292.14,19,Este,0.28,Tarjeta
103,2024-06-01,Producto C,Categoria 2,484.75,36,Sur,0.45,Efectivo
104,2024-07-10,Producto E,Categoria 1,977.66,87,Oeste,0.25,Efectivo
105,2024-01-03,Producto C,Categoria 2,33.8,71,Este,0.45,Transferencia
106,2024-05-27,Producto B,Categoria 1,161.42,55,Norte,0.46,Tarjeta
107,2023-11-20,Producto D,Categoria 3,359.63,88,Norte,0.09,Transferencia
108,2024-06-07,Producto D,Categoria 1,545.08,60,Sur,0.31,Efectivo
109,2024-07-30,Producto B,Categoria 3,149.02,6,Sur,0.21,Transferencia
110,2024-07-14,Producto B,Categoria 1,592.76,62,Sur,0.29,Transferencia
111,2023-11-24,Producto A,Categoria 1,157.41,51,Oeste,0.47,Efectivo
112,2024-09-15,Producto C,Categoria 3,791.76,80,Este,0.38,Transferencia
113,2024-05-05,Producto E,Categoria 3,130.49,20,Norte,0.11,Transferencia
114,2024-09-07,Producto D,Categoria 1,103.68,73,Sur,0.29,Tarjeta
115,2024-09-16,Producto B,Categoria 1,752.97,35,Oeste,0.19,Transferencia
116,2024-10-06,Producto B,Categoria 2,453.31,32,Norte,0.46,Tarjeta
117,2024-09-30,Producto B,Categoria 2,977.95,67,Oeste,0.44,Tarjeta
118,2024-01-16,Producto C,Categoria 3,940.35,80,Este,0.3,Efectivo
119,2024-04-12,Producto B,Categoria 3,572.01,72,Sur,0.13,Transferencia
120,2024-10-06,Producto E,Categoria 1,883.13,58,Sur,0.01,Tarjeta
121,2024-05-27,Producto C,Categoria 3,661.3,11,Sur,0.09,Transferencia
122,2023-10-25,Producto B,Categoria 1,845.34,25,Oeste,0.45,Efectivo
123,2023-11-15,Producto E,Categoria 2,629.35,78,Este,0.46,Efectivo
124,2024-01-24,Producto C,Categoria 2,615.69,16,Oeste,0.03,Transferencia
125,2024-09-18,Producto D,Categoria 2,511.17,32,Sur,0.06,Efectivo
126,2024-02-18,Producto C,Categoria 2,308.15,54,Oeste,0.48,Efectivo
127,2024-03-31,Producto B,Categoria 3,263.24,73,Norte,0.08,Efectivo
128,2023-12-22,Producto A,Categoria 1,900.0,88,Norte,0.09,Tarjeta
129,2024-09-20,Producto E,Categoria 2,351.87,72,Este,0.49,Tarjeta
130,2024-03-05,Producto C,Categoria 1,662.71,38,Sur,0.34,Tarjeta
131,2024-10-15,Producto E,Categoria 2,372.06,39,Este,0.0,Transferencia
132,2023-10-23,Producto E,Categoria 3,444.56,54,Norte,0.29,Transferencia
133,2024-03-03,Producto C,Categoria 1,128.19,72,Sur,0.34,Efectivo
134,2024-05-02,Producto A,Categoria 3,396.02,35,Sur,0.38,Transferencia
135,2023-12-19,Producto A,Categoria 1,713.13,37,Oeste,0.0,Efectivo
136,2023-12-19,Producto A,Categoria 1,570.62,78,Este,0.27,Transferencia
137,2024-06-23,Producto B,Categoria 2,44.15,76,Sur,0.31,Transferencia
138,2023-11-18,Producto A,Categoria 1,604.1,34,Este,0.43,Efectivo
139,2024-10-13,Producto B,Categoria 3,156.89,73,Norte,0.22,Tarjeta
140,2024-08-06,Producto B,Categoria 2,913.2,68,Sur,0.33,Tarjeta
141,2023-11-18,Producto E,Categoria 3,939.34,42,Sur,0.36,Efectivo
142,2023-11-01,Producto D,Categoria 1,203.82,51,Oeste,0.12,Transferencia
143,2024-02-07,Producto A,Categoria 2,115.31,23,Este,0.47,Efectivo
144,2024-06-10,Producto D,Categoria 2,976.97,94,Oeste,0.32,Tarjeta
145,2024-07-25,Producto A,Categoria 2,882.44,71,Este,0.02,Tarjeta
146,2024-05-24,Producto E,Categoria 3,511.55,28,Sur,0.14,Transferencia
147,2024-02-18,Producto E,Categoria 1,537.72,14,Norte,0.37,Efectivo
148,2024-02-20,Producto A,Categoria 2,119.86,59,Oeste,0.03,Tarjeta
149,2024-06-24,Producto E,Categoria 1,556.57,39,Sur,0.1,Tarjeta
150,2024-01-11,Producto D,Categoria 2,701.15,24,Sur,0.12,Tarjeta
151,2024-03-27,Producto D,Categoria 3,21.46,24,Sur,0.49,Tarjeta
152,2024-09-23,Producto A,Categoria 1,733.44,10,Este,0.07,Tarjeta
153,2024-04-12,Producto A,Categoria 3,832.23,31,Este,0.04,Efectivo
154,2024-01-23,Producto D,Categoria 2,592.24,98,Norte,0.0,Tarjeta
155,2024-04-29,Producto A,Categoria 1,927.43,46,Oeste,0.35,Tarjeta
156,2024-03-07,Producto D,Categoria 3,516.5,30,Norte,0.09,Efectivo
157,2024-04-09,Producto B,Categoria 2,83.18,48,Este,0.06,Efectivo
158,2023-11-10,Producto D,Categoria 3,109.8,74,Norte,0.28,Efectivo
159,2023-11-03,Producto B,Categoria 1,592.77,82,Oeste,0.26,Efectivo
160,2024-03-24,Producto B,Categoria 1,408.17,14,Este,0.03,Efectivo
161,2024-04-19,Producto E,Categoria 2,184.34,98,Este,0.09,Tarjeta
162,2024-09-06,Producto E,Categoria 1,90.0,51,Este,0.29,Efectivo
163,2024-05-19,Producto C,Categoria 2,671.25,41,Sur,0.03,Transferencia
164,2023-11-14,Producto D,Categoria 3,955.97,94,Este,0.21,Transferencia
165,2024-02-05,Producto C,Categoria 3,600.98,82,Este,0.25,Transferencia
166,2024-09-05,Producto D,Categoria 1,919.16,97,Oeste,0.05,Transferencia
167,2024-03-16,Producto A,Categoria 1,445.19,2,Oeste,0.31,Efectivo
168,2024-04-04,Producto A,Categoria 3,654.94,66,Este,0.14,Tarjeta
169,2024-09-17,Producto D,Categoria 1,362.03,100,Este,0.03,Transferencia
170,2023-12-30,Producto B,Categoria 3,166.81,47,Norte,0.41,Efectivo
171,2024-08-09,Producto E,Categoria 3,877.91,64,Norte,0.15,Transferencia
172,2024-05-19,Producto D,Categoria 1,472.74,8,Sur,0.5,Tarjeta
173,2024-09-24,Producto A,Categoria 2,302.25,15,Oeste,0.23,Tarjeta
174,2024-03-15,Producto A,Categoria 2,717.11,69,Este,0.42,Transferencia
175,2024-04-23,Producto B,Categoria 1,879.46,64,Este,0.5,Transferencia
176,2024-07-23,Producto B,Categoria 2,856.05,87,Oeste,0.44,Tarjeta
177,2024-07-24,Producto E,Categoria 2,289.63,66,Oeste,0.48,Transferencia
178,2024-06-28,Producto D,Categoria 2,559.41,11,Este,0.39,Tarjeta
179,2023-11-22,Producto A,Categoria 2,856.33,50,Oeste,0.03,Efectivo
180,2024-07-24,Producto E,Categoria 2,28.49,89,Norte,0.24,Transferencia
181,2024-04-26,Producto D,Categoria 3,400.83,92,Oeste,0.09,Tarjeta
182,2024-06-17,Producto E,Categoria 2,636.74,5,Norte,0.35,Tarjeta
183,2024-02-12,Producto E,Categoria 2,319.09,18,Oeste,0.09,Transferencia
184,2024-10-07,Producto C,Categoria 1,280.69,25,Oeste,0.0,Tarjeta
185,2024-03-07,Producto C,Categoria 1,421.18,17,Sur,0.17,Transferencia
186,2023-12-18,Producto A,Categoria 1,281.24,19,Sur,0.33,Tarjeta
187,2023-10-25,Producto D,Categoria 1,80.83,86,Oeste,0.0,Tarjeta
188,2024-09-24,Producto C,Categoria 3,296.98,44,Norte,0.5,Tarjeta
189,2024-03-30,Producto D,Categoria 3,801.49,75,Oeste,0.47,Tarjeta
190,2023-11-23,Producto D,Categoria 2,370.2,22,Norte,0.42,Efectivo
191,2024-08-25,Producto D,Categoria 1,440.78,20,Este,0.19,Efectivo
192,2023-10-27,Producto E,Categoria 1,575.24,84,Sur,0.13,Tarjeta
193,2024-05-19,Producto D,Categoria 2,966.75,55,Sur,0.15,Transferencia
194,2024-04-09,Producto A,Categoria 1,851.22,26,Sur,0.05,Tarjeta
195,2023-10-27,Producto B,Categoria 3,851.08,71,Este,0.13,Transferencia
196,2024-03-01,Producto C,Categoria 3,570.5,13,Este,0.35,Efectivo
197,2024-06-12,Producto A,Categoria 1,235.57,6,Sur,0.08,Efectivo
198,2024-05-08,Producto A,Categoria 1,311.31,41,Sur,0.19,Efectivo
199,2024-07-05,Producto A,Categoria 1,940.37,47,Oeste,0.21,Transferencia
200,2024-08-24,Producto E,Categoria 1,289.86,60,Norte,0.09,Tarjeta
201,2023-11-13,Producto E,Categoria 1,663.87,6,Norte,0.22,Efectivo
202,2023-12-31,Producto D,Categoria 2,386.64,9,Sur,0.12,Efectivo
203,2023-11-02,Producto B,Categoria 3,243.79,68,Este,0.49,Tarjeta
204,2024-07-28,Producto C,Categoria 3,148.96,27,Sur,0.01,Tarjeta
205,2023-11-14,Producto B,Categoria 3,447.99,13,Norte,0.09,Efectivo
206,2024-05-31,Producto B,Categoria 2,684.07,98,Oeste,0.47,Tarjeta
207,2024-05-27,Producto B,Categoria 3,662.4,13,Norte,0.29,Transferencia
208,2024-05-04,Producto D,Categoria 2,629.64,5,Este,0.09,Efectivo
209,2024-02-17,Producto D,Categoria 2,73.13,26,Oeste,0.38,Tarjeta
210,2024-09-28,Producto E,Categoria 3,479.26,65,Este,0.43,Efectivo
211,2024-01-25,Producto A,Categoria 2,925.93,27,Norte,0.29,Efectivo
212,2024-02-26,Producto B,Categoria 1,873.86,69,Norte,0.11,Efectivo
213,2023-12-15,Producto D,Categoria 2,718.04,81,Oeste,0.11,Efectivo
214,2024-03-14,Producto C,Categoria 3,124.28,45,Norte,0.36,Tarjeta
215,2023-12-13,Producto A,Categoria 2,604.17,40,Este,0.26,Transferencia
216,2024-02-18,Producto B,Categoria 3,603.84,22,Sur,0.44,Transferencia
217,2024-03-21,Producto E,Categoria 1,581.53,35,Sur,0.04,Tarjeta
218,2024-04-05,Producto E,Categoria 1,357.47,25,Oeste,0.31,Efectivo
219,2023-11-16,Producto B,Categoria 2,856.46,93,Oeste,0.48,Transferencia
220,2024-04-06,Producto D,Categoria 3,213.95,65,Sur,0.19,Efectivo
221,2024-08-05,Producto C,Categoria 3,53.73,35,Este,0.3,Tarjeta
222,2024-02-27,Producto A,Categoria 3,26.95,71,Sur,0.33,Tarjeta
223,2024-08-06,Producto E,Categoria 3,554.36,48,Este,0.03,Efectivo
224,2024-08-22,Producto C,Categoria 1,792.57,58,Norte,0.01,Tarjeta
225,2024-02-12,Producto B,Categoria 1,723.26,79,Sur,0.47,Tarjeta
226,2023-12-13,Producto C,Categoria 3,202.52,19,Sur,0.3,Efectivo
227,2024-03-29,Producto A,Categoria 1,676.88,23,Oeste,0.02,Tarjeta
228,2024-05-23,Producto D,Categoria 2,726.12,55,Norte,0.05,Transferencia
229,2024-10-11,Producto A,Categoria 1,539.28,68,Este,0.02,Transferencia
230,2024-06-09,Producto B,Categoria 2,983.45,50,Sur,0.24,Transferencia
231,2024-02-03,Producto D,Categoria 1,147.47,26,Este,0.4,Efectivo
232,2024-09-13,Producto B,Categoria 1,663.21,11,Sur,0.11,Transferencia
233,2024-05-23,Producto C,Categoria 1,321.32,10,Este,0.36,Tarjeta
234,2023-12-21,Producto C,Categoria 3,356.26,70,Oeste,0.15,Efectivo
235,2024-04-07,Producto A,Categoria 2,338.22,65,Sur,0.33,Tarjeta
236,2024-06-19,Producto B,Categoria 1,154.06,80,Sur,0.24,Transferencia
237,2024-09-12,Producto A,Categoria 2,218.68,74,Sur,0.12,Tarjeta
238,2024-04-20,Producto D,Categoria 1,388.45,37,Oeste,0.0,Efectivo
239,2024-10-06,Producto D,Categoria 1,961.66,54,Norte,0.01,Tarjeta
240,2024-01-12,Producto C,Categoria 2,893.78,55,Norte,0.01,Tarjeta
241,2024-02-01,Producto E,Categoria 1,631.24,98,Sur,0.41,Tarjeta
242,2024-02-19,Producto E,Categoria 1,793.52,53,Norte,0.05,Efectivo
243,2024-02-21,Producto D,Categoria 3,918.18,6,Oeste,0.45,Tarjeta
244,2024-02-27,Producto C,Categoria 3,688.18,80,Este,0.32,Efectivo
245,2024-01-24,Producto B,Categoria 1,192.96,70,Sur,0.38,Tarjeta
246,2024-09-16,Producto B,Categoria 1,51.87,17,Sur,0.5,Efectivo
247,2024-05-08,Producto C,Categoria 3,41.95,22,Oeste,0.07,Tarjeta
248,2023-12-21,Producto E,Categoria 2,126.0,60,Oeste,0.23,Transferencia
249,2024-03-19,Producto B,Categoria 2,545.4,72,Este,0.43,Efectivo
250,2024-03-11,Producto C,Categoria 2,494.24,12,Oeste,0.2,Transferencia
251,2024-01-02,Producto A,Categoria 2,973.85,57,Sur,0.39,Transferencia
252,2024-10-07,Producto B,Categoria 3,700.91,8,Este,0.16,Efectivo
253,2024-02-12,Producto E,Categoria 1,872.55,13,Sur,0.32,Transferencia
254,2024-03-18,Producto C,Categoria 3,919.81,30,Sur,0.46,Transferencia
255,2024-06-28,Producto E,Categoria 3,507.72,51,Norte,0.39,Tarjeta
256,2024-06-02,Producto D,Categoria 1,151.31,45,Oeste,0.07,Efectivo
257,2024-08-30,Producto C,Categoria 3,730.02,64,Oeste,0.05,Efectivo
258,2023-11-15,Producto B,Categoria 2,817.13,49,Sur,0.06,Efectivo
259,2024-07-12,Producto C,Categoria 2,642.43,27,Norte,0.29,Tarjeta
260,2024-03-07,Producto B,Categoria 2,114.49,21,Oeste,0.13,Transferencia
261,2023-12-15,Producto D,Categoria 3,204.81,56,Oeste,0.44,Transferencia
262,2024-02-28,Producto C,Categoria 2,85.56,81,Norte,0.12,Efectivo
263,2024-07-27,Producto E,Categoria 3,888.49,90,Sur,0.29,Transferencia
264,2024-04-16,Producto C,Categoria 2,584.94,55,Norte,0.16,Transferencia
265,2023-11-16,Producto D,Categoria 1,867.6,80,Norte,0.42,Efectivo
266,2023-12-07,Producto B,Categoria 3,234.5,5,Norte,0.13,Tarjeta
267,2024-05-13,Producto D,Categoria 2,978.41,55,Sur,0.45,Tarjeta
268,2024-09-21,Producto A,Categoria 2,483.3,1,Norte,0.42,Transferencia
269,2023-12-26,Producto B,Categoria 1,459.29,85,Oeste,0.35,Efectivo
270,2024-03-30,Producto D,Categoria 1,873.24,40,Oeste,0.05,Transferencia
271,2024-07-17,Producto C,Categoria 2,986.72,96,Norte,0.01,Transferencia
272,2024-09-10,Producto D,Categoria 1,115.81,42,Norte,0.2,Transferencia
273,2024-05-24,Producto A,Categoria 2,593.12,58,Norte,0.25,Transferencia
274,2024-02-01,Producto C,Categoria 1,224.44,73,Norte,0.07,Transferencia
275,2024-05-05,Producto E,Categoria 2,481.2,15,Este,0.49,Transferencia
276,2024-06-11,Producto D,Categoria 1,829.0,89,Oeste,0.06,Tarjeta
277,2024-03-30,Producto E,Categoria 1,174.96,19,Este,0.14,Tarjeta
278,2024-05-14,Producto D,Categoria 2,513.72,31,Este,0.35,Efectivo
279,2024-04-27,Producto B,Categoria 1,194.76,7,Oeste,0.42,Transferencia
280,2024-08-21,Producto A,Categoria 2,340.28,43,Sur,0.03,Tarjeta
281,2023-11-08,Producto C,Categoria 2,886.37,37,Norte,0.02,Tarjeta
282,2024-01-11,Producto E,Categoria 1,11.43,37,Oeste,0.14,Tarjeta
283,2023-11-20,Producto B,Categoria 3,204.15,10,Sur,0.49,Efectivo
284,2024-07-15,Producto C,Categoria 3,678.87,66,Norte,0.41,Efectivo
285,2023-12-29,Producto A,Categoria 1,113.33,68,Oeste,0.18,Efectivo
286,2024-06-20,Producto A,Categoria 3,498.17,65,Oeste,0.1,Transferencia
287,2024-05-09,Producto A,Categoria 3,383.92,49,Este,0.32,Transferencia
288,2024-04-17,Producto E,Categoria 2,183.29,16,Norte,0.41,Efectivo
289,2024-06-26,Producto D,Categoria 2,331.2,57,Este,0.14,Tarjeta
290,2024-06-11,Producto C,Categoria 3,353.74,22,Oeste,0.38,Efectivo
291,2024-01-29,Producto B,Categoria 2,876.48,20,Este,0.28,Tarjeta
292,2024-09-11,Producto C,Categoria 1,74.92,34,Este,0.41,Efectivo
293,2024-09-07,Producto E,Categoria 2,960.09,76,Sur,0.24,Tarjeta
294,2024-04-07,Producto A,Categoria 2,487.19,68,Oeste,0.03,Transferencia
295,2024-09-24,Producto D,Categoria 3,929.49,95,Oeste,0.19,Efectivo
296,2024-08-04,Producto B,Categoria 3,527.11,35,Sur,0.24,Efectivo
297,2023-10-26,Producto D,Categoria 2,466.17,63,Norte,0.43,Transferencia
298,2024-08-29,Producto C,Categoria 3,631.92,50,Este,0.29,Efectivo
299,2024-03-17,Producto A,Categoria 2,238.91,80,Norte,0.43,Efectivo
300,2023-11-28,Producto C,Categoria 2,986.02,92,Este,0.28,Transferencia
301,2024-06-01,Producto D,Categoria 3,308.93,6,Sur,0.5,Tarjeta
302,2024-05-29,Producto C,Categoria 1,745.15,91,Sur,0.28,Tarjeta
303,2024-01-08,Producto C,Categoria 2,908.2,83,Este,0.29,Transferencia
304,2024-06-15,Producto B,Categoria 2,100.98,82,Oeste,0.42,Tarjeta
305,2023-12-28,Producto C,Categoria 2,674.91,15,Este,0.45,Transferencia
306,2023-11-24,Producto D,Categoria 3,514.41,5,Este,0.1,Transferencia
307,2024-05-01,Producto D,Categoria 3,195.36,89,Norte,0.11,Transferencia
308,2023-10-28,Producto A,Categoria 2,856.97,14,Oeste,0.05,Efectivo
309,2023-10-23,Producto C,Categoria 1,463.49,96,Oeste,0.3,Transferencia
310,2023-10-26,Producto A,Categoria 1,218.52,78,Sur,0.09,Tarjeta
311,2024-02-13,Producto C,Categoria 2,824.09,68,Este,0.31,Transferencia
312,2024-09-22,Producto E,Categoria 1,649.78,76,Sur,0.46,Transferencia
313,2023-12-07,Producto B,Categoria 1,109.82,59,Este,0.15,Tarjeta
314,2024-01-26,Producto B,Categoria 1,257.8,24,Oeste,0.37,Efectivo
315,2024-07-24,Producto B,Categoria 3,714.63,50,Este,0.0,Efectivo
316,2023-12-17,Producto B,Categoria 1,307.15,82,Sur,0.19,Transferencia
317,2024-08-16,Producto A,Categoria 2,904.32,41,Sur,0.46,Efectivo
318,2024-05-17,Producto C,Categoria 1,960.43,54,Norte,0.32,Transferencia
319,2024-02-29,Producto E,Categoria 1,402.07,65,Este,0.38,Efectivo
320,2024-04-05,Producto A,Categoria 2,254.33,66,Este,0.27,Efectivo
321,2024-05-08,Producto C,Categoria 2,218.89,2,Norte,0.22,Tarjeta
322,2024-08-13,Producto D,Categoria 3,286.52,73,Este,0.12,Efectivo
323,2024-08-24,Producto D,Categoria 3,863.17,22,Norte,0.28,Efectivo
324,2023-11-04,Producto C,Categoria 3,781.42,89,Este,0.47,Tarjeta
325,2024-03-19,Producto A,Categoria 1,520.92,32,Oeste,0.43,Transferencia
326,2024-05-22,Producto E,Categoria 2,60.77,25,Oeste,0.09,Tarjeta
327,2024-01-05,Producto E,Categoria 3,558.11,26,Norte,0.01,Tarjeta
328,2024-09-19,Producto A,Categoria 3,491.81,57,Sur,0.16,Transferencia
329,2024-10-04,Producto D,Categoria 3,726.59,38,Sur,0.1,Transferencia
330,2024-06-13,Producto B,Categoria 1,174.58,9,Norte,0.38,Transferencia
331,2024-01-24,Producto A,Categoria 1,847.6,52,Oeste,0.13,Transferencia
332,2023-12-10,Producto D,Categoria 2,761.73,36,Norte,0.03,Transferencia
333,2024-09-18,Producto B,Categoria 2,690.61,59,Oeste,0.15,Transferencia
334,2024-10-15,Producto B,Categoria 3,140.45,12,Oeste,0.15,Efectivo
335,2024-06-12,Producto B,Categoria 2,820.22,15,Sur,0.01,Tarjeta
336,2024-02-07,Producto A,Categoria 1,865.0,77,Oeste,0.17,Transferencia
